fein,employer_name,lca_count,certified_count,worksite_cities
36-4789591,Orion Systems Integrators LLC,4,4,Chicago
36-4476521,"HBM ENGINEERING GROUP, LLC",4,4,Hillside
36-4462793,Invenergy LLC,4,4,Chicago
36-4102699,"Trading Technologies International, Inc.",4,4,Chicago
36-3920539,TRADELINK LLC,4,4,"CHICAGO,Chicago"
36-3844476,"GSG CONSULTANTS, INC",4,4,"Schaumburg,Schaumburt"
36-3166895,Sinai Health System,4,4,Chicago
36-2256036,Rehabilitation Institute of Chicago,4,4,Chicago
36-2167808,NORC,4,4,Chicago
36-2167060,Northshore University HealthSystem,4,4,Evanston
36-2158694,Sidley Austin (US) LLP,4,4,Chicago
36-1988190,William Wrigley Jr. Company,4,4,Chicago
36-1557840,North Park University,4,4,Chicago
36-1326630,Kirkland & Ellis LLP,4,4,Chicago
36-0698440,ABBOTT LABORATORIES,4,4,"CHICAGO,Chicago"
35-2650701,"ImmersiveTouch, Inc",4,4,Chicago
35-2615332,MARS TECHNOMINDS INC,4,4,"CHICAGO,LINCOLNWOOD,STREAMWOOD,Chicago"
33-1791871,Navi Technologies Inc,4,4,"Skokie,SKOKIE"
33-1385787,"Prime Healthcare Illinois Medical Group, LLC",4,4,"Evanston,Chicago"
32-0464144,"Orsted North America, Inc.",4,4,Chicago
30-0000176,SOLUTIONS INC,4,4,WOOD DALE
27-3672910,"Mandarich Law Group, LLP",4,4,Chicago
27-3352557,"Perry & Alznauer, PC",4,4,Chicago
26-0072915,Barry Callebaut USA LLC,4,4,Chicago
25-0542520,Kraft Heinz Foods Company,4,4,Chicago
23-3063219,Exelon Business Services Company LLC,4,4,"Chicago,Oakbrook Terrace"
22-2417778,"SIEMENS MEDICAL SOLUTIONS USA, INC.",4,4,"Hoffman Estates,HOFFMAN ESTATES"
22-2223346,"Foot Locker Corporate Services, Inc.",4,4,"Chicago,Hoffman States,Hoffman Estates"
20-5237654,"ARCO/Murray National Construction Company, LLC",4,4,Chicago
20-4070470,HR Pundits Inc.,4,4,"Schaumburg,Chicago"
20-3809406,"Summit Design & Build, LLC",4,4,Chicago
20-3712109,"Comtrix Solutions, Inc.",4,4,Chicago
20-3621866,"CIMPAR, SC",4,4,Chicago
20-1232357,"Kenway Consulting, LLC",4,4,Chicago
13-4147118,Deloitte Services LP,4,4,"Chicago,Evanston"
13-4038723,"MSCI, INC.",4,4,"CHICAGO,Chicago"
13-4035318,MPG Operations LLC,4,3,Chicago
13-3994895,Tower Research Capital LLC,4,4,Chicago
13-3863700,Interactive Brokers LLC,4,4,Chicago
13-3577870,Wolters Kluwer United States Inc.,4,4,"Chicago,Schaumburg"
13-3090509,Bank of China,4,4,Chicago
13-2762488,"Siemens Industry, Inc.",4,4,"Chicago,CHICAGO"
99-2461162,"Trinite Consulting Group, LLC",3,3,"Schaumburg,Chicago"
95-4457467,Selbert Perkins Design,3,1,Barrington
94-3353401,"Equilar, Inc.",3,3,Chicago
94-3209378,Group One Trading LLC,3,3,Chicago
93-4069232,"Baniassadi Law Group, P.C.",3,2,Chicago
93-2707677,"Cofactor AI, Inc.",3,3,Chicago
93-1980069,WUWI INC,3,2,Chicago
92-2789223,"Seen Finance, Inc.",3,3,Chicago
92-2569784,"Teragonia, Inc.",3,3,Chicago
92-2259616,CZ Biohub Chicago LLC,3,3,Chicago
92-1638944,Labyrinthine Archival Restoration Project NFP,3,2,Chicago
92-1336815,QUANTGEN TECHNOLOGIES INC.,3,3,NORTHBROOK
92-1253300,SMA Tech LLC,3,3,Schaumburg
92-0460586,PwC US Tax LLP,3,3,Chicago
92-0400838,PwC US Group LLP,3,3,Chicago
92-0359825,Mindsprint Inc.,3,3,Chicago
91-2032865,Avanade Inc.,3,3,"Chicago,Schaumburg"
91-0515058,"Nordstrom, Inc.",3,3,Chicago
90-1013808,Redis Inc.,3,3,Chicago
88-1356079,Dataflake LLC,3,2,"Chicago,Mount Prospect"
87-4399907,OSS Special Steel Inc.,3,3,Schaumburg
87-2956685,"Parliament Data Solutions, Inc.",3,2,Chicago
87-1450120,"FedEx Dataworks, Inc.",3,3,"Chicago,Wheeling"
86-3270599,ZANG & DI LLC,3,2,Evanston
86-2802933,Lotus Root Counseling PLLC,3,3,Chicago
86-2358048,"Insight Chicago, Inc.",3,3,Chicago
86-0850417,"GoDaddy.com, LLC",3,3,"Hoffman Estates,Chicago"
85-3392251,"OFFERFIT, INC.",3,1,CHICAGO
85-2189292,QSYCON LLC,3,3,Hoffman Estates
85-1292877,Kodai Capital Management LP,3,3,Chicago
84-3064975,Imperium Dynamics LLC,3,3,Chicago
84-2508506,"Energy CX, LLC",3,3,Chicago
84-2273466,CloudEQ,3,3,Chicago
84-0853581,"M-E Engineers, Inc.",3,3,"Chicago,Chiacgo"
83-3913207,"Ascend InfoTech, Inc.",3,3,Lemont
83-2137008,SURGE TECHNOLOGY SOLUTIONS INC,3,3,Chicago
83-1983696,"BLDG Projects, Inc",3,3,Chicago
83-1502624,TEK INTERNATIONAL INC,3,3,SCHAUMBURG
83-1415779,The Mind-Eye Institute,3,1,Northbrook
83-1235645,EXELIQ CONSULTING INC,3,3,Schaumburg
83-0994270,Childrens Legal Center,3,3,Chicago
82-5263603,"Krasan Consulting Services, Inc.",3,3,Des Plaines
82-4081104,ChiByDesign Inc.,3,3,Chicago
82-3268160,"RXO Managed Transport, LLC.",3,3,Naperville
82-3133778,VectorBuilder Inc.,3,3,Chicago
82-3009521,"Jingdiao North America, Inc.",3,3,Mount Prospect
82-2961139,SANCTITYINTERNATIONAL LLC,3,3,Chicago
82-2416002,Prime S4 Technologies LLC,3,3,Schaumburg
82-2335588,"Glanbia Nutritionals Services, LLC",3,3,Chicago
81-4929872,"SpotOn Transact, LLC",3,2,Chicago
81-4485674,Slesha Inc,3,3,CHICAGO
81-4001774,Trovetechs Inc,3,3,Chicago
81-3443155,Yahoo Holdings Inc.,3,3,"Schaumburg,Northbrook"
81-1643169,Skill Voice Inc.,3,3,"Arlington Heights,Chicago"
81-0738843,ZEEGAR LLC,3,3,Chicago
80-0985076,SR Systems LLC,3,3,Des Plaines
80-0443354,"Kaar Technologies, Inc.",3,3,Skokie
74-2853258,"Perficient, Inc.",3,3,Chicago
59-1031071,Cigna Health and Life Insurance Company,3,3,"Chicago,Mount Prospect"
57-1217213,"Nova Enterprises, Inc.",3,3,Chicago
52-2205299,Merkle Inc.,3,3,Chicago
52-2107638,"TEKsystems Global Services, LLC",3,3,Chicago
51-0566551,"Marex Services, Inc.",3,3,Chicago
51-0377935,ANDHUS TECHNOLOGIES INC,3,3,"ROSEMONT,OAKBROOK TERRACE"
47-6024114,"FCB Worldwide, Inc.",3,3,Chicago
47-4556557,Polaris7 Investments LLC,3,3,Chicago
47-4055685,"Chowbus, Inc.",3,3,Chicago
47-1519244,Midwest Post Acute Care PLLC,3,2,"CHICAGO,Chicago"
47-1020349,"RDI, Inc.",3,3,Chicago
46-5764709,"NinjaTrader Group, LLC",3,3,"Palatine,Chicago"
46-5762987,"Blinkfire Analytics, Inc.",3,3,Chicago
46-5666023,"ShipBob, Inc.",3,3,"Plainfield,Hoffman Estates"
46-5436817,Disbelief LLC,3,3,Chicago
46-3985383,"COLLECTIVEHEALTH, INC.",3,3,Chicago
46-3796763,SIA Global Solutions LLC,3,3,Schaumburg
46-3646807,Nanhua USA LLC,3,3,Chicago
46-3558233,NOVO PROSO INC,3,3,Chicago
46-3546341,Asoft Consulting LLC,3,3,"Chicago,CHICAGO"
46-3062890,VusionGroup  Incorporated,3,3,Chicago
46-3043362,Relish Labs LLC,3,3,Chicago
46-2680544,SYNMETA LLC,3,3,Chicago
46-2605165,Oak Street Health MSO LLC,3,3,Chicago
46-2158838,"Wargaming (USA), Inc.",3,3,Chicago
46-1255133,Savvy Info Systems Inc,3,3,"Schaumburg,SCHAUMBURG"
46-1111888,Classroom Support Services LLC,3,3,Schaumburg
46-0826899,Pathstone Partners LLC,3,3,Chicago
46-0628058,LAW OFFICES OF METIN SERBEST PLLC,3,3,"DES PLAINES,CHICAGO"
46-0523964,exp U.S. Services Inc.,3,3,Chicago
45-5636447,"Dexian, LLC",3,2,Chicago
45-5488835,SRK Systems Inc,3,3,Chicago
45-5413534,"Affirm, Inc.",3,3,Chicago
45-5389351,"Northside Center for Relationship Counseling, P.C.",3,3,Chicago
45-4440021,Living With Power Ministries,3,1,"Arlington Heights,Wheeling"
45-3071590,"Logic Loops, LLC",3,2,Schaumburg
42-1749823,Amazon Advertising LLC,3,3,"CHICAGO,Chicago"
41-1941945,Ecolab USA Inc.,3,3,"Chicago,Naperville"
39-6037917,Robert W. Baird & Co. Incorporated,3,3,Chicago
39-0859910,"Baker Tilly US, LLP",3,3,Chicago
38-4238811,Nature's Fynd LLC,3,3,Chicago
38-3955862,Pacific Asiana LLC,3,3,Chicago
38-3659021,Populus Group LLC,3,3,Chicago
38-2645558,Harley Ellis Devereaux Corporation,3,2,"Chicago,CHICAGO"
38-2247428,"SmithGroup, Inc., subsidiary of SmithGroup Co., Inc.",3,2,Chicago
36-6066772,Alliant Credit Union,3,3,Chicago
36-6005820,City of Chicago,3,3,Chicago
36-6004261,Community Consolidated School District 15,3,3,"Palatine,Rolling Meadows"
36-4883631,ROBOTICS TECHNOLOGIES LLC,3,3,"CHICAGO,SCHAUMBURG"
36-4526722,Midwest Asian Health Association,3,3,Chicago
36-4413124,Alrek Business Solutions Inc,3,3,"Chicago,Schaumburg,SCHAUMBURG"
36-4183029,"SupraSoft, Inc.",3,3,"Schaumburg,Wheeling"
36-4141862,"Pegasus Knowledge Solutions, Inc.",3,3,"CHICAGO,Chicago"
36-3842292,International Bank of Chicago,3,3,Bellwood
36-3803405,ABBOTT MOLECULAR INC.,3,3,"DES PLAINES,Des Plaines"
36-3642294,"US Foods, Inc.",3,3,Rosemont
36-3640402,"Stericycle, Inc.",3,2,Chicago
36-3422565,"Muzaffar Mirza DDS, LLC",3,3,Chicago
36-3349547,RNA CORPORATION,3,3,"Blue Island,BLUE ISLAND"
36-3193649,Islamic Food and Nutrition Council of America,3,3,"Des Plaines,Desplaines"
36-3168081,Sikich LLC,3,3,Naperville
36-3150143,Adtalem Global Education Inc.,3,3,Chicago
36-3130851,"Large & Associates, LTD",3,2,Chicago
36-3097297,Northwestern Medical Faculty Foundation,3,3,Chicago
36-3008203,"RCF Economic & Financial Consulting, Inc.",3,3,Chicago
36-2786846,Panasonic Corporation of North America (PNA),3,3,Hoffman Estates
36-2723084,GAINSystems LLC,3,3,Chicago
36-2643058,SOLOMON CORDWELL BUENZ,3,3,CHICAGO
36-2584799,Lutheran Social Services of Illinois,3,3,Chicago
36-2369491,"Molex, LLC",3,3,Chicago
36-2195077,Federal Reserve Bank of Chicago,3,3,Chicago
36-2144820,"Ada S. McKinley Community Services, Inc",3,3,Chicago
36-1509000,Mount Sinai Hospital  Medical Center of Chicago,3,3,Chicago
36-1436000,Marsh USA LLC,3,3,Chicago
35-2637418,"WEISS MEMORIAL HOSPITAL, LLC.",3,3,CHICAGO
35-2546417,Zurich Services US LLC,3,3,Schaumburg
35-2185639,"Nest Builders, Inc.",3,3,Chicago
35-0868188,University of Notre Dame du Lac,3,3,Chicago
34-2025396,"FTI, LLC",3,3,Chicago
33-3709623,CohnReznick Advisory LLC,3,2,Chicago
33-2404999,KLASS ZZONE LLC,3,0,Calumet Park
33-1830988,"Dental 360 Smiles, LLC",3,3,Chicago
33-1187432,"The Ayco Company, L.P., a Goldman Sachs Company",3,3,"Chicago,Deerfield"
33-0796904,"Accurate Background, LLC",3,3,"Des Plaines,Deerfield,Schaumburg"
33-0593327,Calsoft Systems,3,3,Schaumburg
32-0549679,MMR CONSULTING USA INC,3,3,"Orland Park,ORLAND PARK"
32-0375312,Laksan Technologies LLC,3,3,Schaumburg
32-0353368,Grainger Management LLC,3,3,"Chicago,Lake Forest"
32-0115907,Esperanza Health Centers,3,3,Chicago
31-1343192,Experian Information Solutions Inc.,3,3,"Schaumburg,Schaumberg"
30-1297673,"Enora Global Fund (US), LP",3,1,Chicago
30-1005380,StackAdapt US Inc.,3,3,Chicago
30-0867324,HaskoningDHV USA Inc.,3,3,Evanston
30-0284706,"TRINITY PARTNERS, LLC",3,3,Chicago
27-5031452,"TURBOdesign Technology, Inc.",3,2,Chicago
27-3622467,SPK TEHNOLOGIES INC,3,3,SCHAUMBURG
27-3611702,"INTELLILINK TECHNOLOGIES, INC.",3,3,"SCHAUMBURG,CHICAGO"
27-2949464,3S BUSINESS CORPORATION,3,3,"CHICAGO,SKOKIE,Chicago"
27-1661214,"Sound Physicians of Illinois, LLC",3,3,Olympia Fields
27-1197421,"The Bowa Group, Inc.",3,3,Chicago
27-1061911,"Opportunity Financial, LLC",3,3,Chicago
27-0148690,Aimtron Corporation,3,3,"Palatine,PALATINE"
26-4265644,Moreback CPA LLC,3,3,Chicago
26-3999357,"C3.ai, Inc.",3,3,Chicago
26-3740348,Standard & Poor's Financial Services LLC,3,3,"Chicago,Hoffman Estates"
26-3014097,"KDM Engineering, PLLC",3,3,Chicago
26-1844819,"Astellas Pharma Global Development, Inc.",3,3,Northbrook
26-1743154,"AKA Comp Solutions, Inc.",3,3,Chicago
26-1426376,Intelligroup USA Ltd,3,3,"Evanston,Rosemont,Chicago"
26-0138832,"Dropbox, Inc.",3,3,Chicago
23-2933918,STV Construction Inc.,3,3,Chicago
23-1327437,Wheatland Tube LLC,3,3,Chicago
22-3424909,"Iris Software, Inc",3,3,Chicago
22-2328344,"The Matlen Silver Group, Inc.",3,3,Chicago
22-0760120,"Becton, Dickinson and Company",3,3,"Hoffman Estates,Chicago"
20-5991576,"Equity Residential Services, LLC",3,3,Chicago
20-5947231,UBS Business Solutions US LLC,3,3,Chicago
20-5683269,Golub Capital LLC,3,3,Chicago
20-4902875,"Kavi Associates, LLC",3,3,Barrington
20-4391079,Decision Six Inc,3,3,"Evanston,Chicago"
20-3886536,9th Dimension LLC,3,3,Chicago
20-3852321,"Sensirion, Inc.",3,3,Chicago
20-3328053,Syndigo LLC,3,2,Chicago
20-1659855,"Leidos Engineering, LLC",3,3,Chicago
20-0884419,E80 Group Inc.,3,3,Chicago
20-0381928,Morningstar DBRS,3,3,Chicago
20-0300856,"American IT Resource Group, Inc.",3,3,Schaumburg
13-4309337,HCL GLOBAL SYSTEMS INC,3,3,"SCHAUMBURG,DES PLAINES,CHICAGO"
13-4153988,"Markit North America, Inc.",3,3,Chicago
13-2834414,Mercer (US) LLC,3,3,Chicago
13-2798343,CIBC World Markets Corp.,3,3,Chicago
13-1986759,STV Incorporated,3,3,Chicago
11-3670618,"Wells Plumbing and Heating Supplies, Inc.",3,3,Chicago
06-1364380,"Red Hat, Inc.",3,3,"Chicago,Schaumburg"
04-3756900,"Commonwealth Care Alliance, Inc.",3,2,Chicago
04-3626476,VelocityEHS Inc,3,3,"CHICAGO,Chicago"
04-3328310,"Sophos, Inc.",3,2,Chicago
04-3327903,"Simon, Kucher & Partners Strategy & Marketing Consultants LLC",3,3,Chicago
04-2878322,"BAIN & COMPANY, INC.",3,3,"Chicago,CHICAGO"
03-0509520,"HALO Branded Solutions, Inc.",3,3,Northbrook
01-0892965,Cabrera Capital Markets LLC,3,3,Chicago
99-5019532,BidLabs Inc,2,1,Chicago
99-4604893,KINGSTON TECHNOLOGIES INC,2,2,CHICAGO
99-4590848,Sky Auto Studio LLC,2,1,Chicago
99-4062313,"Algorithmic Research Group, LLC",2,2,Chicago
99-3808213,CloudExperts Consulting LLC,2,1,Chicago
99-1874021,Winded Vertigo LLC,2,2,Chicago
99-1683313,UBS Asset Management (Americas) LLC,2,2,Chicago
99-0909772,HyperStrong International USA Corp,2,2,Chicago
95-4876363,"Datassential, Inc.",2,2,Chicago
95-3936623,"Bentley Systems, Incorporated",2,2,Chicago
95-2743174,"CBRE, INC.",2,2,Chicago
95-2209675,Paul Hastings LLP,2,2,Chicago
95-1492269,Avery Dennison Corporation,2,2,"Chicago,Mt. Prospect"
94-3260948,"Houlihan Lokey Financial Advisors, Inc.",2,2,Chicago
94-2819853,"Autodesk, Inc.",2,2,Chicago
94-2257553,BP America Inc.,2,2,Chicago
94-1347393,"Wells Fargo Bank, N.A.",2,2,Hoffman Estates
93-4858187,Park & Associates Professional Company,2,1,Wheeling
93-3990268,ArtVidar LLC,2,2,Elk Grove Village
93-3714825,SSQUARESSOFT LLC,2,2,Chicago
93-3667131,PIXELITCENTER CORPORATION,2,2,Chicago
93-3499050,"Worldpay, LLC",2,2,Chicago
93-2288261,DATASENSEIT LLC,2,2,Chicago
93-2230869,Kent Law Partners LLC,2,1,Palatine
93-1175674,Vesta Corporation,2,2,Chicago
92-3452998,Heed Inc.,2,2,Chicago
92-3101424,Nile Tech Inc,2,2,SCHAUMBURG
92-1465400,Tec Frames LLC,2,2,"Arlington Heights,Schaumburg"
92-1128075,M1 Health LLC,2,2,Orland Park
92-0919727,Blue Owl Capital Holdings LLC,2,2,Chicago
92-0777465,"Kuvare Corporate Management, LLC",2,2,Rosemont
92-0429232,Cerner Technologies LLC,2,2,CHICAGO
92-0290913,Grainger Corporate Services LLC,2,2,Chicago
91-2183967,"Docusign, Inc.",2,2,Chicago
91-1830835,Ritchie Bros. Auctioneers (America) Inc.,2,2,Westchester
91-1223280,Costco Wholesale Corporation,2,1,Schaumburg
90-0919763,"Cushman & Wakefield Global, Inc.",2,2,Chicago
90-0855728,"Accenture Infrastructure and Capital Projects, LLC",2,2,Chicago
90-0807987,M2P Consulting Inc.,2,2,Chicago
90-0787471,GLA GLOBAL COMPANY,2,1,CHICAGO
88-4365930,Caliber Engineering Solutions LLC,2,2,Chicago
88-4307400,ASPIRE SYSTEMS DIGITAL TRANSFORMATION INC.,2,2,"CHICAGO,Schaumburg"
88-4026873,Whale Supply LLC,2,2,Northbrook
88-3789265,ARPELS INVESTMENT LLC,2,2,Chicago
88-3730831,Opis Renewable Services Inc,2,2,Chicago
88-3720314,ThinkNext Software Solutions LLC,2,2,Rolling Meadows
88-3537221,Kennected LLC,2,1,Chicago
88-3337192,HEATCORE INC,2,2,Chicago
88-3244754,CTRL Therapeutics USA Inc.,2,2,Chicago
88-3111697,"Rapyuta Robotics, Inc.",2,2,Schaumburg
88-2971506,UNIUNI LOGISTICS INC.,2,2,BROADVIEW
88-2814385,Atkore Management LLC,2,2,Harvey
88-2123131,Genfare LLC,2,2,"Elk Grove,Elk Grove Village"
88-2073402,LG Commercial LLC,2,2,Chicago
88-1194012,iClanz Inc,2,2,Chicago
88-0886885,Intent Medical Group PLLC,2,2,Arlington Heights
88-0627649,Pog Tech Corp.,2,2,Chicago
88-0351165,"James Hardie Building Products, Inc.",2,2,Chicago
87-4739371,Pacston Corporation,2,2,Rolling Meadows
87-4651532,"VERVEWARE, LLC",2,2,Chicago
87-4286966,"SymTrain, Inc.",2,1,"Chicago,CHICAGO"
87-4126448,4710 Services LLC,2,1,Chicago
87-3604680,STAALX LLC,2,2,CHICAGO
87-3320728,Maxis Clinical Sciences LLC,2,2,Schaumburg
87-2687219,"ODP International, LLC",2,2,Wheeling
87-2510069,Apex Fintech Services LLC,2,2,Chicago
87-2301961,CITADEL ENTERPRISE AMERICAS SERVICES LLC,2,2,Chicago
87-2126005,Decision Spot,2,2,Chicago
87-1604653,Vimtech Corporation,2,2,Chicago
87-1103742,SVT IT INFOTECH INC,2,1,"CHICAGO,Chicago"
87-0689007,"FreedomRoads, LLC",2,2,Chicago
86-3893191,KORA FINANCIAL INC,2,2,Chicago
86-3801390,VSQUARE IT INC,2,2,"SCHAUMBURG,Schaumburg"
86-3726529,"Indecor Group, Inc.",2,2,Morton Grove
86-3131729,SeedPod Cyber LLC,2,2,Evanston
86-2620086,BIG HOUSE STUDIO LLC,2,2,CHICAGO
86-2503355,Red Tag US LLC,2,2,Chicago
86-2309889,"Waltz Health, Inc.",2,2,Chicago
86-1941933,Cloud Nine Tek LLC,2,2,Chicago
85-3845710,"Hospitalist Physicians of Illinois, P.C.",2,2,Chicago
85-3827059,"Law Offices of Ma & Li, P.C.",2,2,Chicago
85-2910619,mcSquared AI LLC,2,2,Elgin
85-2732455,Cigna-Evernorth Services Inc.,2,2,"Schaumburg,Mount Prospect"
85-2601046,Valarcorp Inc,2,2,Chicago
85-2233773,MRA GLOBAL TECH LLC,2,2,CHICAGO
85-2046062,"Middle River Power, LLC",2,2,Chicago
85-1664787,Apogem Capital LLC (f/k/a New York Life Investment Alternatives LLC),2,2,Chicago
85-1465569,ORIGIN HUBS INC,2,2,Chicago
85-1428474,MSR TECHNOLOGY GROUP LLC,2,2,"CHICAGO,WESTCHESTER"
85-1180600,"FUGE TECHNOLOGIES, INC.",2,2,Skokie
85-1015404,"Prudence, Inc.",2,2,Chicago
85-0629772,"Gong Cha Americas, Inc.",2,2,Chicago
85-0596265,HAUZR HOME SERVICES LLC,2,2,Chicago
84-4996089,"Element Food Solutions, LLC",2,1,Hodgkins
84-4824992,"Telesto Strategy, LLC",2,2,Chicago
84-4676803,Apex Window Werks USA Corp,2,1,Wheeling
84-4313004,"FORIS DAX, INC.",2,2,CHICAGO
84-4188530,"SQUAD SOFTWARE, INC.",2,2,CHICAGO
84-3747643,WM Reply,2,2,Chicago
84-3489032,"Ahead, Inc",2,2,Chicago
84-3477158,BYTE LINK SYSTEMS INC,2,2,CHICAGO
84-3443670,EFICENS SYSTEMS INC,2,2,CHICAGO
84-3243702,Highspring LLC,2,1,"Prospect Heights,Mount Prospect"
84-3241065,Elogistics (GA) Service Corp.,2,2,Elk Grove Village
84-2755819,Happy Le Inc,2,1,"Evanston,evanston"
84-2710594,AGILETAL TECHNOLOGIES INC.,2,2,CHICAGO
84-2526251,NCIF Management Inc.,2,2,Chicago
84-2505824,Script Health PBC,2,2,Chicago
84-2455315,Octagon IT LLC,2,2,Chicago
84-2375823,Midwestern IT INC,2,2,CHICAGO
84-2270317,"Proper Consulting Group, LLC",2,2,Chicago
84-2235842,"FTD, LLC",2,2,Chicago
83-4284670,ATOS SYNTEL INC,2,2,"Prospect Heights,Chicago"
83-4186036,Aroma International Inc.,2,2,Elk Grove Village
83-3906067,Transform Sears Home Services LLC,2,2,Hoffman Estates
83-3090819,"Amount, Inc.",2,2,Chicago
83-2754173,Monoceros Corporation,2,2,Chicago
83-2582286,Whitelight Group Inc.,2,2,Chicago
83-2569435,Peoples Tax and Accounting Inc,2,1,Chicago
83-2368290,"SEW-Tech, Inc.",2,2,"Chicago, IL,Chicago"
83-2263992,"Trail Dogs, LLC",2,2,Chicago
83-2142977,NGTalentTech Group LLC,2,2,Chicago
83-2060026,Chicago Law Group Ltd.,2,2,Northfield
83-1679013,"Source Cloud Technologies, Inc.",2,2,Chicago
83-1623888,"Empowered Connections Counseling, Inc.",2,2,Chicago
83-0849145,GE PRECISION HEALTHCARE LLC,2,2,"CHICAGO,ARLINGTON HEIGHTS"
83-0821972,"INSPYR Solutions, LLC",2,2,Chicago
83-0567184,Volexion Inc,2,2,Evanston
83-0376192,Bridgenext Digital Engineering Inc.,2,2,Chicago
82-4408739,MAGTECH CONSULTING AND SOLUTIONS DEVELOPMENT CORPORATION,2,2,ARLINGTON HEIGHTS
82-4359408,"Evolutio PS, LLC",2,2,Chicago
82-4026990,Site IQ LLC,2,1,Schaumburg
82-4024907,Regal Steel Group Ltd,2,2,Franklin Park
82-3777148,Celesdata Inc.,2,2,Chicago
82-3270359,"International Business Technologies, Inc.",2,2,Chicago
82-2805257,Icons Printing and Signs Inc,2,2,Chicago
82-2765116,"BUDDERFLY, INC",2,2,Chicago
82-2706686,Coates US Inc.,2,2,Chicago
82-2407124,"Alvarez & Marsal Consumer and Retail Group, LLC",2,2,"Chicago,Suite 1800"
82-2059023,Revantage Corporate Services LLC,2,2,Chicago
82-1741688,Pharma Tek Solutions Inc,2,2,"CHICAGO,Chicago"
82-1553639,The Crone Law Group P.C.,2,2,Chicago
82-0978154,DEPT Commerce LLC (FKA Melon Technologies LLC),2,1,Chicago
82-0855415,Instylla Inc.,2,2,Chicago
81-5466267,"O2M Technologies, LLC",2,2,Chicago
81-5437871,Hollerith IT Solutions LLC,2,2,"Chicago,Evanston"
81-5434098,ALLIANCECHICAGO,2,2,Chicago
81-5286905,Neopolis,2,2,Chicago
81-4900410,RAKS Group LLC,2,2,"Schaumburg,Chicago"
81-4602170,HKA Global LLC,2,2,Chicago
81-4440353,RIA Advisory LLC,2,2,"Downers Grove,Northbrook"
81-4423705,"APPTRICS, LLC",2,2,"Riverwoods,Chicago"
81-4133785,Vanta Inc.,2,2,"CHICAGO,ROLLING MEADOWS"
81-4106347,Liberty Mutual Technology Group Inc.,2,2,Chicago
81-3941692,ELYMIR INC.,2,1,Wheeling
81-3915602,"Ullico Infrastructure Management Company, LLC",2,2,Chicago
81-3515187,"Scuola Italiana Enrico Fermi, NFP",2,2,Chicago
81-3500525,ITvorks Inc,2,2,"Chicago,Schaumburg"
81-3315066,"SK Accounting and Tax Advisors, Inc.",2,2,Arlington Heights
81-3197209,S&A IT Training Corporation,2,2,Schaumburg
81-1864867,"Kalderos, Inc.",2,2,Chicago
81-0561195,SPRI Partners LLC,2,2,Chicago
80-0845341,Federal-Mogul Motorparts LLC,2,2,Skokie
80-0106530,VALIDATION & TECHNICAL SERVICES INTEGRATED INC.,2,2,DES PLAINES
77-0154833,Natus Medical Incorporated,2,2,Schaumburg
77-0019588,GN Hearing Care Corporation,2,2,Glenview
76-0741034,"SVK Systems, Inc.",2,2,Chicago
76-0516691,"INDUS VALLEY CONSULTANTS, INC.",2,2,Chicago
75-3153704,"Global Choices, Inc.",2,2,Chicago
74-3219359,"Rackspace US, Inc.",2,2,Elk Grove Village
74-3111478,The Dental Clinic LLC,2,2,Chicago
73-1642740,"Tmax Soft, Inc.",2,2,Chicago
68-0523132,"GREEN COURTE PARTNERS, LLC",2,2,"Chicago,CHICAGO"
68-0275553,CENTRAL GARDEN & PET,2,2,SCHAUMBURG
68-0262011,Cerus Corporation,2,2,Palatine
62-1771578,"Bill Me Later, Inc.",2,2,Chicago
62-1598430,UNUM Group,2,2,"Chicago,Evanston"
62-0928337,Merastar Insurance Company,2,2,Chicago
61-1767987,International Recruiting LLC,2,2,Chicago
59-3797948,"Atlassian US, Inc.",2,2,"Chicago,Evanston"
59-3583134,"SYSTEM SOFT TECHNOLOGIES, LLC",2,2,"Schaumburg,Evanston"
58-2466085,Apex-2000 Inc,2,2,Chicago.
58-2308827,BCD Travel USA LLC,2,2,"Chicago, IL,Chicago"
58-1910859,"National Vision, Inc",2,2,"Schaumburg,Hodgkins"
58-1667655,"Presidio Networked Solutions, LLC",2,2,Chicago
58-1276168,LexisNexis Risk Solutions Inc.,2,2,"Palatine,Evanston"
58-0401110,Equifax Inc.,2,2,Chicago
57-1227406,"TECHPILLARS, INC.",2,1,Chicago
57-0373224,"Arcadis U.S., Inc.",2,2,Chicago
56-2516796,Denodo Technologies Inc.,2,2,Chicago
56-1874931,"Compass Group USA, Inc.",2,2,"Elk Grove Village,Chicago"
56-0163330,BFS Operations LLC,2,2,Skokie
54-1986789,GlobalLogic Inc.,2,2,"Chicago,Arlington Heights"
54-1955550,"comScore, Inc.",2,2,Chicago
52-2307626,Credico (USA) LLC,2,2,Chicago
52-2213940,"Vitality Management Company, LLC",2,2,Chicago
52-2207301,Comarch Inc.,2,2,Rosemont
52-1464254,INDOTRONIX INTERNATIONAL CORPORATION,2,2,Chicago
52-1150358,Crowell & Moring LLP,2,2,Chicago
52-0893615,"ICF Incorporated, LLC",2,2,Chicago
51-0378135,The Siegfried Group LLP,2,0,Chicago
47-5603187,Mancini Law Group P.C.,2,1,Chicago
47-5200286,ACTICO Corp.,2,2,Chicago
47-5174862,Quebec Solutions Inc,2,2,Chicago
